	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int
Actinomyces_bouchesdurhonensis	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Kingella_denitrificans	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
GGB1203_SGB1568	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Prevotella_dentalis	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Prevotella_oris	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Capnocytophaga_gingivalis	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Campylobacter_SGB19317	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Selenomonas_SGB5880	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Haemophilus_paraphrohaemolyticus	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Stomatobaculum_SGB5266	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Streptococcus_sanguinis	0.0002061855670103093	0.010309278350515464	0.0010970527763231042	2.88153340756922e-05	0.040175750394289306
Tannerella_sp_oral_taxon_HOT_286	0.0004123711340206186	0.020618556701030927	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Leptotrichia_sp_oral_taxon_215	0.0004123711340206186	0.020618556701030927	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Neisseria_sp_oral_taxon_014	0.0004123711340206186	0.010309278350515464	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Streptococcus_sp_263_SSPC	0.0004123711340206186	0.020618556701030927	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Porphyromonas_endodontalis	0.0004123711340206186	0.010309278350515464	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Isoptericola_variabilis	0.0004123711340206186	0.010309278350515464	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Streptococcus_cristatus	0.0004123711340206186	0.020618556701030927	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Rothia_dentocariosa	0.0004123711340206186	0.020618556701030927	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Capnocytophaga_granulosa	0.0004123711340206186	0.010309278350515464	0.002193190321281624	0.00010963134973102778	0.04220369684804713
Streptococcus_parasanguinis	0.0006185567010309278	0.030927835051546393	0.00328841293893245	0.00023541344728999353	0.04418491707184548
GGB1088_SGB1395	0.0006185567010309278	0.020618556701030927	0.00328841293893245	0.00023541344728999353	0.04418491707184548
GGB4538_SGB6256	0.0006185567010309278	0.010309278350515464	0.00328841293893245	0.00023541344728999353	0.04418491707184548
Gemella_SGB7284	0.0006185567010309278	0.020618556701030927	0.00328841293893245	0.00023541344728999353	0.04418491707184548
Campylobacter_concisus	0.0006185567010309278	0.030927835051546393	0.00328841293893245	0.00023541344728999353	0.04418491707184548
Prevotella_nigrescens	0.0006185567010309278	0.010309278350515464	0.00328841293893245	0.00023541344728999353	0.04418491707184548
Alloprevotella_tannerae	0.0008247422680412372	0.020618556701030927	0.004382720934109741	0.00040057504337226435	0.04612499823550825
Veillonella_rogosae	0.0012371134020618556	0.05154639175257732	0.006568594280255247	0.0008317355014211374	0.04989904696534159
Alloprevotella_SGB1463	0.0012371134020618556	0.030927835051546393	0.006568594280255247	0.0008317355014211374	0.04989904696534159
Gemella_sanguinis	0.0012371134020618556	0.030927835051546393	0.006568594280255247	0.0008317355014211374	0.04989904696534159
Neisseria_cinerea	0.0016494845360824743	0.010309278350515464	0.008750812813860809	0.0013754391121846392	0.05355352137054904
Streptococcus_gordonii	0.0016494845360824743	0.020618556701030927	0.008750812813860809	0.0013754391121846392	0.05355352137054904
Aggregatibacter_sp_oral_taxon_458	0.0018556701030927835	0.030927835051546393	0.009840552296247362	0.0016831172894539864	0.05534229699368433
Veillonella_parvula	0.002061855670103093	0.030927835051546393	0.010929379001375028	0.002011989472932567	0.057108122598844034
Actinomyces_graevenitzii	0.002268041237113402	0.010309278350515464	0.012017293239461324	0.002360367557847	0.05885268688760171
Veillonella_dispar	0.002268041237113402	0.09278350515463918	0.012017293239461324	0.002360367557847	0.05885268688760171
Prevotella_nanceiensis	0.002268041237113402	0.05154639175257732	0.012017293239461324	0.002360367557847	0.05885268688760171
Haemophilus_influenzae	0.002474226804123711	0.020618556701030927	0.013104295321484938	0.0027267720085249955	0.060577469993894136
Capnocytophaga_leadbetteri	0.0028865979381443303	0.05154639175257732	0.015275564265049613	0.0035085848210811565	0.06397277024552449
Haemophilus_sputorum	0.003092783505154639	0.020618556701030927	0.01635983175233302	0.003921799983697075	0.06564548179393523
Aggregatibacter_aphrophilus	0.0032989690721649486	0.010309278350515464	0.017443188335034332	0.004348614969263413	0.06730284111030713
Megasphaera_micronuciformis	0.0035051546391752578	0.08247422680412371	0.018525634327904217	0.004788193561716884	0.06894568501622458
Leptotrichia_wadei	0.004329896907216494	0.09278350515463918	0.02284631872224796	0.006659996407373504	0.07538606628913677
Gemella_haemolysans	0.004948453608247422	0.05154639175257732	0.02607728635846518	0.008166797521952256	0.08009503920992442
Candidatus_Saccharibacteria_unclassified_SGB19850	0.005154639175257732	0.08247422680412371	0.02715245905310215	0.008686121559907563	0.0816441452125386
Fusobacterium_nucleatum	0.0053608247422680414	0.030927835051546393	0.028226724024098315	0.009213309078072149	0.08318364144538781
Prevotella_salivae	0.005773195876288661	0.16494845360824742	0.03037253208446733	0.010289872474125654	0.0862352091630639
Klebsiella_pneumoniae	0.006185567010309278	0.010309278350515464	0.03251471312543419	0.011393914350486832	0.0892523206972907
Fusobacterium_pseudoperiodonticum	0.006597938144329897	0.07216494845360824	0.03465326974444294	0.012523185031978176	0.09223723072023951
Streptococcus_salivarius	0.00845360824742268	0.1134020618556701	0.04423199252893972	0.017868917217856134	0.10531915955716137
Alloprevotella_SGB1466	0.009690721649484535	0.030927835051546393	0.050577181145954664	0.021628558897622212	0.11376646734140172
Streptococcus_oralis	0.011752577319587627	0.10309278350515463	0.06108049411607208	0.02815953630625008	0.12744188857111471
Neisseria_sicca	0.011752577319587627	0.061855670103092786	0.06108049411607208	0.02815953630625008	0.12744188857111471
Streptococcus_infantis	0.012371134020618556	0.14432989690721648	0.06421397968703568	0.030172160945309473	0.13145750080879304
Haemophilus_haemolyticus	0.013402061855670104	0.1134020618556701	0.06941853969959477	0.03357263489827185	0.1380696214200543
Streptococcus_pneumoniae	0.013402061855670104	0.10309278350515463	0.06941853969959477	0.03357263489827185	0.1380696214200543
Porphyromonas_pasteri	0.014020618556701031	0.21649484536082475	0.07253054144441218	0.03563797980171538	0.1419911825526298
Veillonella_atypica	0.014432989690721649	0.2268041237113402	0.07460074249591298	0.03702443637757264	0.14458740342598786
Bacteroidaceae_unclassified_SGB1468	0.015876288659793816	0.15463917525773196	0.08181834990093684	0.04193143908052858	0.1535657198462345
Afipia_birgiae	0.023298969072164947	0.09278350515463918	0.11825128895916026	0.06811391709793299	0.19747336408561847
Rothia_mucilaginosa	0.02515463917525773	0.20618556701030927	0.12718129125706934	0.07482238592025413	0.20794454008452878
Prevotella_pallens	0.027422680412371135	0.25773195876288657	0.13799969581229599	0.08307532618357925	0.2205041754052775
Haemophilus_parainfluenzae	0.030515463917525774	0.27835051546391754	0.15258268905400973	0.09439762316990467	0.2372368145729687
Cutibacterium_acnes	0.03340206185567011	0.12371134020618557	0.16601822273617506	0.10501019331234271	0.25247168421196686
Prevotella_histicola	0.04556701030927835	0.27835051546391754	0.2208058012484	0.14978839292016094	0.3130944809371217
Prevotella_sp_A2879	0.04845360824742268	0.21649484536082475	0.23337733347288392	0.1603556214621612	0.32671251587773764
Haemophilus_parahaemolyticus	0.048865979381443304	0.17525773195876287	0.23516000752915645	0.16186196126440566	0.3286357056654191
Prevotella_jejuni	0.05030927835051546	0.21649484536082475	0.2413733677243225	0.16712704176278653	0.33532396154236294
Sphingomonas_melonis	0.050515463917525774	0.13402061855670103	0.2422576949687124	0.16787825812180657	0.3362740244728136
Neisseria_subflava	0.07134020618556701	0.3402061855670103	0.32741417414465457	0.2421623599063943	0.42581497196193346
Prevotella_melaninogenica	0.07278350515463917	0.422680412371134	0.33301702640865694	0.24717295537925393	0.4315832104322555
Helicobacter_pylori	0.07835051546391752	0.14432989690721648	0.35427441722741215	0.2663090412853394	0.45334234626399994
Streptococcus_mitis	0.18701030927835052	0.6185567010309279	0.6698751956191822	0.5713926290007044	0.7554152963856183
