	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int	full_taxonomy
G000187005	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__Thermus scotoductus
G000221945	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Avibacterium; s__Avibacterium paragallinarum
G000723745	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila
G000731955	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas zincidurans
G000733765	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales; f__Algiphilaceae; g__Algiphilus; s__Algiphilus aromaticivorans
G000735455	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Yokenella; s__Yokenella regensburgei
G000219275	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter lwoffii
G000736415	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__Campylobacter iguaniorum
G000223375	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ketogulonicigenium; s__Ketogulonicigenium vulgare
G000737985	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__Gammaproteobacteria bacterium MFB021
G000739795	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__Paraburkholderia kururiensis
G000740785	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paenirhodobacter; s__Paenirhodobacter enshiensis
G000741285	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium mongoliense
G000741715	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium saguini
G000212375	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas asaccharolytica
G000741785	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium stellenboschense
G000743575	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__Devosia riboflavina
G000739595	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Haloferacales; f__Halorubraceae; g__Halorubrum; s__Halorubrum halophilum
