	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int
Haemophilus_influenzae	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Lactococcus_lactis	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Roseburia_faecis	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Bacteroidetes_oral_taxon_274	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
GGB12785_SGB19823	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Capnocytophaga_gingivalis	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Clostridia_unclassified_SGB6317	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Faecalibacterium_SGB15346	0.0005882352941176471	0.029411764705882353	0.0025982091962137854	5.715263031448592e-05	0.10612630781913548
Prevotella_pleuritidis	0.0011764705882352942	0.029411764705882353	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Prevotella_salivae	0.0011764705882352942	0.058823529411764705	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Prevotella_fusca	0.0011764705882352942	0.029411764705882353	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Haemophilus_haemolyticus	0.0011764705882352942	0.058823529411764705	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Dialister_invisus	0.0011764705882352942	0.029411764705882353	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Prevotella_nanceiensis	0.0011764705882352942	0.058823529411764705	0.005191139441586334	0.00021887040332409236	0.11062401022125164
Actinomyces_oris	0.001764705882352941	0.029411764705882353	0.007778796469467553	0.00047267423604401004	0.11502015074532
Candidatus_Saccharibacteria_unclassified_SGB19850	0.001764705882352941	0.029411764705882353	0.007778796469467553	0.00047267423604401004	0.11502015074532
Gemella_haemolysans	0.001764705882352941	0.08823529411764706	0.007778796469467553	0.00047267423604401004	0.11502015074532
Campylobacter_concisus	0.0023529411764705885	0.058823529411764705	0.010361186026645153	0.0008083486342504304	0.11932495521237461
Alishewanella_aestuarii	0.0023529411764705885	0.058823529411764705	0.010361186026645153	0.0008083486342504304	0.11932495521237461
Fusobacterium_pseudoperiodonticum	0.0023529411764705885	0.08823529411764706	0.010361186026645153	0.0008083486342504304	0.11932495521237461
Streptococcus_gordonii	0.0029411764705882353	0.029411764705882353	0.012938313873237184	0.0012174032972864512	0.12354692427383684
Megasphaera_micronuciformis	0.0029411764705882353	0.11764705882352941	0.012938313873237184	0.0012174032972864512	0.12354692427383684
Bacteroidaceae_unclassified_SGB1468	0.0029411764705882353	0.058823529411764705	0.012938313873237184	0.0012174032972864512	0.12354692427383684
GGB1022_SGB1315	0.0029411764705882353	0.029411764705882353	0.012938313873237184	0.0012174032972864512	0.12354692427383684
Streptococcus_anginosus	0.003529411764705882	0.029411764705882353	0.015510185782585895	0.0016926891745685096	0.1276932173548182
Lactobacillus_vaginalis	0.003529411764705882	0.029411764705882353	0.015510185782585895	0.0016926891745685096	0.1276932173548182
Fusobacterium_nucleatum	0.003529411764705882	0.029411764705882353	0.015510185782585895	0.0016926891745685096	0.1276932173548182
Prevotella_oris	0.00411764705882353	0.029411764705882353	0.018076807541151485	0.0022281180124926886	0.13176993310702323
Leptotrichia_wadei	0.00411764705882353	0.08823529411764706	0.018076807541151485	0.0022281180124926886	0.13176993310702323
Neisseria_cinerea	0.00411764705882353	0.029411764705882353	0.018076807541151485	0.0022281180124926886	0.13176993310702323
Gemella_SGB7284	0.004705882352941177	0.029411764705882353	0.020638184948405747	0.0028184531907892163	0.13578231857220358
Limosilactobacillus_fermentum	0.005294117647058823	0.029411764705882353	0.023194323816726814	0.0034591508620971517	0.13973492804239457
Neisseria_sicca	0.005294117647058823	0.058823529411764705	0.023194323816726814	0.0034591508620971517	0.13973492804239457
Paracoccus_yeei	0.005294117647058823	0.029411764705882353	0.023194323816726814	0.0034591508620971517	0.13973492804239457
GGB4395_SGB6050	0.006470588235294118	0.029411764705882353	0.028290909249985896	0.004876213126620149	0.1474762814484665
Veillonella_dispar	0.006470588235294118	0.14705882352941177	0.028290909249985896	0.004876213126620149	0.1474762814484665
Streptococcus_salivarius	0.007058823529411764	0.14705882352941177	0.03083136750326887	0.005645976759418178	0.1512716473483801
Veillonella_atypica	0.00823529411764706	0.17647058823529413	0.035896644397822364	0.007294097269294586	0.15872568197638323
Veillonella_parvula	0.00823529411764706	0.058823529411764705	0.035896644397822364	0.007294097269294586	0.15872568197638323
Lactobacillus_amylovorus	0.008823529411764706	0.058823529411764705	0.03842147480205815	0.008167747266211695	0.1623890787223402
Streptococcus_oralis	0.008823529411764706	0.14705882352941177	0.03842147480205815	0.008167747266211695	0.1623890787223402
Prevotella_pallens	0.012352941176470587	0.17647058823529413	0.05346151706678415	0.01398717429686197	0.1835961698512403
Prevotella_jejuni	0.015294117647058824	0.14705882352941177	0.06585288072953377	0.01944220017035185	0.20040806378809822
Parvimonas_SGB6649	0.015294117647058824	0.029411764705882353	0.06585288072953377	0.01944220017035185	0.20040806378809822
Streptococcus_infantis	0.01647058823529412	0.08823529411764706	0.07077346129283557	0.02174681973911692	0.20694558426181858
Porphyromonas_pasteri	0.018235294117647058	0.20588235294117646	0.07811594926291077	0.02531572320506023	0.21657091795070899
GGB12788_SGB19831	0.018235294117647058	0.029411764705882353	0.07811594926291077	0.02531572320506023	0.21657091795070899
Prevotella_copri_clade_A	0.02	0.029411764705882353	0.08541252353433604	0.029003895154867843	0.2259944775757312
Streptococcus_pneumoniae	0.02235294117647059	0.058823529411764705	0.09507015278840614	0.03408231516476419	0.23827053621816502
Streptococcus_parasanguinis	0.024705882352941175	0.17647058823529413	0.10464684345460185	0.03931890428308446	0.25024298146574986
Haemophilus_parainfluenzae	0.027058823529411767	0.2647058823529412	0.11414299083294133	0.044690457576678444	0.26193572859426206
Sphingomonas_melonis	0.029411764705882353	0.029411764705882353	0.12355899264190451	0.05017771687732624	0.2733687504604531
Afipia_birgiae	0.029411764705882353	0.029411764705882353	0.12355899264190451	0.05017771687732624	0.2733687504604531
Prevotella_sp_A2879	0.03058823529411765	0.23529411764705882	0.12823706388300204	0.05295957360219142	0.2789932515851079
Haemophilus_parahaemolyticus	0.031176470588235295	0.08823529411764706	0.13056863903471716	0.05435925317026309	0.2817833446964639
Rothia_mucilaginosa	0.037647058823529415	0.23529411764705882	0.15588964812286676	0.07008096488365613	0.3115627492627785
Prevotella_melaninogenica	0.041176470588235294	0.29411764705882354	0.16945089584439021	0.07885790950761212	0.32715497204944294
Prevotella_histicola	0.04764705882352942	0.29411764705882354	0.19386004948433144	0.0952058864789995	0.35466953365990084
Neisseria_subflava	0.049999999999999996	0.3235294117647059	0.2025920711191297	0.10121189058089888	0.36435471826137045
Alishewanella_agri	0.05647058823529411	0.058823529411764705	0.22621369005376857	0.11783914004611776	0.39017483043637025
Cutibacterium_acnes	0.06705882352941175	0.20588235294117646	0.26364773091328086	0.14522089305309352	0.43006095921239773
Helicobacter_pylori	0.07882352941176471	0.14705882352941177	0.30350670551680314	0.17561223085125405	0.4712950385495112
Streptococcus_mitis	0.17705882352941174	0.5	0.5722304836602947	0.40709190022364694	0.722704176406835
