	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int
Prevotella_oulorum	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Actinomyces_sp_ICM58	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Prevotella_fusca	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Gemmiger_formicilis	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Gemella_sanguinis	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Alloprevotella_rava	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Rothia_dentocariosa	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
GGB12785_SGB19823	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Capnocytophaga_sputigena	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
GGB1022_SGB1315	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Isoptericola_variabilis	0.0002631578947368421	0.013157894736842105	0.0011289877204576637	2.4150412908166552e-05	0.05023877079969303
Actinomyces_SGB17154	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Prevotella_pleuritidis	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Limosilactobacillus_fermentum	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
GGB4538_SGB6256	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Oribacterium_sinus	0.0005263157894736842	0.02631578947368421	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Faecalibacterium_prausnitzii	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Klebsiella_oxytoca	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Stomatobaculum_longum	0.0005263157894736842	0.02631578947368421	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Aggregatibacter_aphrophilus	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Alishewanella_aestuarii	0.0005263157894736842	0.02631578947368421	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Dialister_invisus	0.0005263157894736842	0.013157894736842105	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Porphyromonas_endodontalis	0.0005263157894736842	0.02631578947368421	0.0022569765906784722	9.26810198980943e-05	0.052317674756224924
Actinomyces_graevenitzii	0.0007894736842105263	0.02631578947368421	0.0033839670954737278	0.0002005372595427421	0.05435535241913065
Streptococcus_peroris	0.0007894736842105263	0.013157894736842105	0.0033839670954737278	0.0002005372595427421	0.05435535241913065
