	14598.PCGA.1092.BE.02	14598.PCGA.1091.BE.03	14598.PCGA.1099.BE.02	14598.PCGA.1125.BE.01	14598.PCGA.1084.BE.03	14598.PCGA.1080.BE.04	14598.PCGA.1135.BE.02	14598.PCGA.1073.BE.02	14598.PCGA.1120.BE.02	14598.PCGA.1101.BE.02	14598.PCGA.1118.BE.04	14598.PCGA.1114.BE.02	14598.PCGA.1097.BE.01	14598.PCGA.1082.BE.01	14598.PCGA.1065.BE.03	14598.PCGA.1121.BE.04	14598.PCGA.1140.BE.01	14598.PCGA.1079.BE.04	14598.PCGA.1126.BE.02	14598.PCGA.1075.BE.02	14598.PCGA.1109.BE.01	14598.PCGA.1136.BE.01	14598.PCGA.1117.BE.01	14598.PCGA.1102.BE.01	14598.PCGA.1089.BE.03	14598.PCGA.1141.BE.03	14598.PCGA.1124.BE.01	14598.PCGA.1094.BE.04	14598.PCGA.1081.BE.04	14598.PCGA.1069.BE.01	14598.PCGA.1108.BE.03	14598.PCGA.1115.BE.02	14598.PCGA.1088.BE.01	14598.PCGA.1129.BE.03	14598.PCGA.1069.BE.03	14598.PCGA.1074.BE.02	14598.PCGA.1090.BE.01	14598.PCGA.1124.BE.03	14598.PCGA.1139.BE.02	14598.PCGA.1080.BE.02	14598.PCGA.1122.BE.01	14598.PCGA.1116.BE.02	14598.PCGA.1129.BE.02	14598.PCGA.1121.BE.03	14598.PCGA.1115.BE.03	14598.PCGA.1122.BE.02	14598.PCGA.1074.BE.01	14598.PCGA.1090.BE.02	14598.PCGA.1139.BE.01	14598.PCGA.1079.BE.01	14598.PCGA.1140.BE.04	14598.PCGA.1088.BE.02	14598.PCGA.1091.BE.04	14598.PCGA.1065.BE.04	14598.PCGA.1118.BE.03	14598.PCGA.1109.BE.04	14598.PCGA.1136.BE.02	14598.PCGA.1066.BE.03	14598.PCGA.1094.BE.01	14598.PCGA.1117.BE.02	14598.PCGA.1102.BE.02	14598.PCGA.1099.BE.03	14598.PCGA.1084.BE.02	14598.PCGA.1092.BE.03	14598.PCGA.1075.BE.01	14598.PCGA.1081.BE.03	14598.PCGA.1066.BE.01	14598.PCGA.1135.BE.01	14598.PCGA.1089.BE.02	14598.PCGA.1073.BE.01	14598.PCGA.1120.BE.01	14598.PCGA.1141.BE.04	14598.PCGA.1097.BE.02	14598.PCGA.1082.BE.02	14598.PCGA.1101.BE.01	14598.PCGA.1114.BE.01	14598.PCGA.1126.BE.03	14598.PCGA.1116.BE.04	14598.PCGA.1125.BE.02
G000006605	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
G000006725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006785	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	4.0	0	0
G000006845	14.0	0	0	0	0	13.0	37.0	0	2.0	0	0	0	0	0	0	0	0	4.0	7.0	0	0	0	21.0	0	0	0	1.0	0	0	0	2.0	0	3.0	0	0	4.0	0	2.0	0	2.0	0	0	0	1.0	0	0	19.0	2.0	35.0	0	0	0	0	0	1.0	0	0	0	2.0	4.0	0	0	0	19.0	0	0	0	0	0	0	3.0	0	0	0	2.0	1.0	4.0	0	0
G000006865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0
G000006925	4.0	0	3.0	3.0	3.0	1.0	2.0	7.0	6.0	1.0	7.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	5.0	3.0	4.0	1.0	3.0	3.0	5.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	4.0	0	5.0	2.0	3.0	5.0	4.0	6.0	0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	3.0	5.0	1.0	3.0	4.0	1.0	4.0	7.0	3.0	5.0	3.0	2.0	3.0	5.0	8.0	1.0	5.0	3.0	1.0	3.0	11.0	3.0	6.0	2.0	2.0	5.0	6.0	5.0	4.0
G000007145	0	0	0	2.0	12.0	0	0	0	0	0	0	0	2.0	0	6.0	0	0	0	4.0	0	2.0	0	0	0	0	0	0	0	4.0	0	0	4.0	0	5.0	0	0	0	0	0	2.0	0	2.0	0	0	6.0	0	0	0	2.0	0	0	0	0	10.0	0	0	0	2.0	0	0	0	0	17.0	0	0	4.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000007265	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	6.0	0	0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0
