	Barretts_12_EGAF00000525202	Barretts_19_EGAF00000530863	Barretts_6_EGAF00000560127	Barretts_22_EGAF00000525458	Barretts_23_EGAF00000501983	Barretts_15_EGAF00000525456	Barretts_21_EGAF00000560126	Barretts_5_EGAF00000525462	Barretts_2_EGAF00000525461	Barretts_20_EGAF00000560125	Barretts_4_EGAF00000525457	Barretts_11_EGAF00000586502	Barretts_17_EGAF00000525463	Barretts_13_EGAF00000525459	Barretts_3_EGAF00000560128	Barretts_8_EGAF00000525460	Barretts_7_EGAF00000501982	Barretts_18_EGAF00000560130	Barretts_10_EGAF00000530875	Barretts_16_EGAF00000525464	Barretts_9_EGAF00000525201	Barretts_1_EGAF00000501981	Barretts_14_EGAF00000560129
G000005825	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	2.0	0
G000006725	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006745	0	0	0	1.0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000006785	0	0	0	0	0	37.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000006845	0	1.0	1.0	14.0	31.0	923.0	2.0	1.0	0	0	0	0	0	0	0	0	20.0	1.0	43.0	6.0	0	0	0
G000006865	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006925	1691.0	0	838.0	3134.0	0	4627.0	968.0	3334.0	2855.0	749.0	2951.0	2232.0	3296.0	2221.0	952.0	2957.0	0	999.0	1237.0	2770.0	2464.0	0	701.0
G000006965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007145	0	2.0	0	4.0	0	10.0	0	8.0	2.0	0	8.0	0	1.0	2.0	0	2.0	0	2.0	0	2.0	0	0	0
G000007265	0	0	0	0	0	33.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000007325	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007525	0	0	0	0	0	17066.0	0	16.0	0	0	0	0	0	0	56.0	0	0	0	0	0	0	0	0
G000007565	0	0	1.0	3.0	0	4.0	0	2.0	3.0	0	1.0	0	7.0	2.0	0	0	0	0	0	2.0	0	0	0
G000007645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007745	0	0	0	1.0	0	63.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007785	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007865	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000007945	0	0	0	2.0	0	146.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008185	0	2.0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	7.0	0
G000008325	1.0	0	1.0	1.0	0	1.0	0	1.0	1.0	0	2.0	1.0	1.0	1.0	0	1.0	0	1.0	0	2.0	1.0	0	0
G000008345	2.0	24.0	2.0	9.0	26.0	19.0	3.0	5.0	2.0	4.0	22.0	0	4.0	14.0	73.0	8.0	17.0	2.0	14.0	12.0	2.0	24.0	5.0
G000008465	0	0	0	0	0	34.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008805	0	2.0	2.0	17.0	39.0	1128.0	0	3.0	0	0	1.0	0	1.0	0	1.0	1.0	29.0	1.0	53.0	9.0	2.0	0	0
G000008865	1848.0	0	927.0	3442.0	1.0	5007.0	1049.0	3606.0	3117.0	822.0	3189.0	2397.0	3628.0	2420.0	1021.0	3217.0	0	1076.0	1301.0	2980.0	2618.0	0	736.0
G000009065	1.0	0	0	1.0	0	6.0	0	1.0	1.0	0	1.0	0	1.0	1.0	0	2.0	0	0	0	2.0	1.0	0	0
G000009125	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
