	Tumor_13_EGAF00000525466	Tumor_4_EGAF00000814885	Tumor_8_EGAF00000814887	Tumor_17_EGAF00000525479	Tumor_1_EGAF00000501976	Tumor_14_EGAF00000560172	Tumor_16_EGAF00000525474	Tumor_7_EGAF00000501977	Tumor_12_EGAF00000525525	Tumor_3_EGAF00000560133	Tumor_11_EGAF00000586547	Tumor_10_EGAF00000530893	Tumor_19_EGAF00000530869	Tumor_18_EGAF00000560173	Tumor_22_EGAF00000525477	Tumor_21_EGAF00000560132	Tumor_2_EGAF00000525468	Tumor_8_EGAF00000814888	Tumor_4_EGAF00000525476	Tumor_8_EGAF00000525467	Tumor_15_EGAF00000525475	Tumor_5_EGAF00000525478	Tumor_14_EGAF00000814865	Tumor_23_EGAF00000501978	Tumor_14_EGAF00000814866	Tumor_15_EGAF00000814880	Tumor_9_EGAF00000525188	Tumor_15_EGAF00000814868	Tumor_20_EGAF00000560131	Tumor_6_EGAF00000560171
G000005825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000006725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
G000006745	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006785	0	0	0	0	0	4.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	3.0	0	7.0	0	0
G000006845	0	1.0	0	1.0	0	28.0	0	21.0	0	0	0	8.0	2.0	1.0	0	1.0	0	0	0	0	27.0	0	3.0	7.0	1.0	405.0	0	218.0	0	8.0
G000006865	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	0
G000006925	3204.0	78.0	65.0	2499.0	0	649.0	1994.0	0	2845.0	660.0	1241.0	2075.0	0	794.0	2914.0	744.0	1939.0	71.0	4811.0	2229.0	1451.0	2764.0	86.0	0	92.0	91.0	2683.0	91.0	1021.0	725.0
G000006965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
G000007105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007145	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	4.0	6.0	0	3.0	2.0	0	0	2.0	0	4.0	1.0	0
G000007265	0	0	0	0	0	4.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	2.0	0	8.0	0	0
G000007325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	1.0	0	11.0	0	11.0	0	0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
G000007525	0	0	0	2.0	0	2.0	0	0	4.0	15.0	0	0	0	0	0	0	0	0	0	0	3233.0	12.0	2.0	0	4.0	29078.0	0	36001.0	0	0
G000007565	2.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	4.0	0	3.0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	0
G000007645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007745	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	1.0	0	0
G000007785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007945	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	3.0	0	2.0	0	0
G000008165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008185	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	20.0	0	9.0	0	0
G000008325	1.0	0	0	1.0	0	0	1.0	0	1.0	1.0	1.0	1.0	0	0	1.0	1.0	1.0	0	2.0	1.0	1.0	1.0	0	0	0	0	1.0	0	0	0
G000008345	5.0	3.0	16.0	3.0	7.0	2.0	4.0	29.0	3.0	7.0	0	4.0	2.0	9.0	5.0	7.0	3.0	0	4.0	9.0	2.0	5.0	4.0	19.0	3.0	9.0	1.0	31.0	7.0	1.0
G000008465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000008505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000008805	0	1.0	0	1.0	0	32.0	1.0	35.0	1.0	1.0	0	10.0	2.0	2.0	0	1.0	1.0	0	0	2.0	34.0	2.0	2.0	5.0	2.0	485.0	2.0	268.0	0	7.0
