	14458.ERR2373049	14458.ERR2373113	14458.ERR2373132	14458.ERR2373070	14458.ERR2373108	14458.ERR2373088	14458.ERR2373071	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373099	14458.ERR2373105	14458.ERR2373104	14458.ERR2373102	14458.ERR2373141	14458.ERR2373142	14458.ERR2373135	14458.ERR2373137	14458.ERR2373079	14458.ERR2373084	14458.ERR2373082	14458.ERR2373130	14458.ERR2373131	14458.ERR2373051	14458.ERR2373116	14458.ERR2373057	14458.ERR2373054	14458.ERR2373120	14458.ERR2373126
G000002415	8.0	18.0	17.0	12.0	54.0	5.0	5.0	5.0	11.0	13.0	10.0	19.0	27.0	10.0	6.0	14.0	5.0	4.0	7.0	10.0	6.0	16.0	7.0	10.0	36.0	5.0	4.0	9.0	19.0
G000002445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	2.0	0	0	0	0	0	3.0
G000002515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000002525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000002545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0
G000002655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0
G000002725	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000002825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000002845	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000002855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	1.0	1.0	0	0	0	0	2.0
G000003835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000004695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000005845	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006335	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006355	66.0	133.0	107.0	95.0	278.0	45.0	46.0	16.0	86.0	56.0	42.0	106.0	238.0	76.0	55.0	81.0	66.0	34.0	25.0	85.0	44.0	49.0	62.0	78.0	289.0	30.0	53.0	55.0	115.0
G000006565	316.0	473.0	461.0	500.0	718.0	247.0	216.0	60.0	372.0	204.0	210.0	446.0	603.0	231.0	225.0	465.0	264.0	199.0	145.0	295.0	216.0	247.0	288.0	340.0	867.0	204.0	214.0	290.0	421.0
G000006765	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	1.0	0
G000006925	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	3.0	0	0	0	0	5.0	0	0	0	0	0	5.0
G000006945	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000007145	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	1.0	0
G000007245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007745	1.0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	10.0	0	1.0	1.0	1.0	0	1.0	0	1.0	3.0	0	1.0	1.0	3.0	0	5.0
G000008185	2.0	2500.0	18.0	139.0	1.0	902.0	89.0	70.0	128.0	8.0	64.0	80.0	17.0	211.0	22.0	141.0	423.0	111.0	529.0	483.0	108.0	608.0	3685.0	0	947.0	1827.0	277.0	486.0	135.0
G000008325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008465	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008865	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009145	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000010005	2.0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	2.0	1.0	0	0	0	0	0	1.0
G000010125	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000010265	0	1.0	0	0	0	0	1.0	1.0	2.0	5.0	0	0	0	2.0	0	0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	1.0
G000010425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000010505	7.0	4739.0	1.0	45.0	2.0	1633.0	295.0	2.0	1112.0	19.0	6.0	128.0	6.0	247.0	2.0	874.0	17.0	504.0	1358.0	10.0	483.0	593.0	17059.0	967.0	10.0	54.0	1070.0	14.0	1009.0
G000011065	0	7.0	0	1.0	0	1.0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	5.0	2.0	1.0	0	4.0	5.0	1.0	2.0	0	3.0
G000011245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000011365	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011905	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000012825	0	1.0	1.0	3.0	0	5.0	0	0	0	0	0	0	1.0	3.0	0	0	1.0	0	0	0	1.0	6.0	3.0	1.0	0	1.0	2.0	0	4.0
G000012845	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0
G000013285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000013325	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0
G000013405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000013425	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	9.0	0	0	0	0	0	1.0	0
G000013605	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000013645	0	1.0	1.0	2.0	0	1.0	0	0	1.0	3.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0
G000013725	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000013985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000014425	0	0	0	0	4.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	3.0	0	0	15.0	0	0	0	0	1.0	23.0	0
G000014445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000014505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000014965	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015325	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015505	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016505	0	0	0	0	0	0	1.0	1.0	2.0	4.0	1.0	0	1.0	2.0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	1.0
G000016525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016765	0	1.0	0	0	0	0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016825	2.0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0	1.0
G000016985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	2.0	0	0	1.0	0	0	2.0
G000017305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017585	0	1.0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	1.0	0	14.0
G000018045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000018685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	1.0
G000018785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	1.0
G000018885	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	1.0	1.0	0	0	2.0	0	1.0	0	1.0	0	0
G000019205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019245	0	0	0	0	1.0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	2.0	0	0	2.0	0	0	15.0	0	0	0	0
G000019345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000019785	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
G000020025	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000020045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000020125	6.0	6.0	1.0	10.0	0	1.0	3.0	0	5.0	1.0	8.0	0	3.0	0	0	0	0	0	4.0	0	1.0	1.0	7.0	2.0	4.0	0	4.0	0	3.0
G000020425	0	0	0	0	1.0	1.0	0	0	0	0	0	0	6.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	2.0	0	0
G000021265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000021545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000021985	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000022005	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000022025	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0
