	14458.ERR2373132	14458.ERR2373099	14458.ERR2373141	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373070	14458.ERR2373071	14458.ERR2373079	14458.ERR2373082	14458.ERR2373084	14458.ERR2373057	14458.ERR2373104	14458.ERR2373102	14458.ERR2373105	14458.ERR2373142	14458.ERR2373049	14458.ERR2373051	14458.ERR2373054	14458.ERR2373088	14458.ERR2373130	14458.ERR2373108	14458.ERR2373131	14458.ERR2373113	14458.ERR2373135	14458.ERR2373120	14458.ERR2373116	14458.ERR2373126	14458.ERR2373137
G000005825	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006605	0	0	0	0	0	4.0	2.0	0	0	3.0	0	1.0	1.0	0	0	1.0	2.0	1.0	0	1.0	0	0	1.0	0	1.0	7.0	5.0	4.0	0
G000006725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006745	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	1.0	0
G000006785	8.0	11.0	2.0	22.0	60.0	154.0	8.0	47.0	8.0	101.0	44.0	30.0	44.0	119.0	62.0	7.0	18.0	17.0	103.0	44.0	32.0	28.0	19.0	43.0	15.0	13.0	49.0	81.0	8.0
G000006845	30.0	111.0	7.0	8.0	124.0	412.0	42.0	245.0	2.0	5.0	247.0	182.0	323.0	599.0	35.0	170.0	350.0	314.0	649.0	618.0	448.0	1.0	294.0	34.0	130.0	18.0	82.0	417.0	224.0
G000006865	1.0	3.0	0	4.0	13.0	29.0	2.0	11.0	1.0	20.0	7.0	7.0	11.0	20.0	16.0	0	4.0	4.0	17.0	8.0	11.0	2.0	2.0	8.0	1.0	2.0	4.0	14.0	1.0
G000006925	1.0	0	0	0	0	0	3.0	0	1.0	0	0	1.0	1.0	1.0	0	3.0	0	0	0	0	1.0	0	7.0	1.0	2.0	0	0	8.0	5.0
G000007145	4.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	2.0	0	4.0	0	0	0
G000007265	29.0	28.0	5.0	70.0	193.0	259.0	29.0	79.0	13.0	379.0	100.0	56.0	87.0	304.0	105.0	69.0	62.0	46.0	187.0	154.0	94.0	73.0	57.0	480.0	25.0	30.0	70.0	177.0	16.0
G000007325	34.0	298.0	72.0	122.0	136.0	475.0	209.0	504.0	306.0	147.0	1329.0	1035.0	397.0	723.0	171.0	360.0	231.0	2106.0	823.0	1915.0	432.0	100.0	7671.0	1098.0	411.0	301.0	616.0	1665.0	276.0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	1.0	2.0	0	3.0	8.0	22.0	5.0	6.0	7.0	17.0	8.0	9.0	11.0	14.0	9.0	1.0	4.0	6.0	78.0	20.0	13.0	61.0	4.0	12.0	3.0	22.0	4.0	11.0	1.0
G000007485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007525	0	0	0	0	0	0	0	0	0	0	0	0	67.0	0	0	0	0	6.0	34.0	10.0	0	30.0	0	0	21.0	0	0	0	0
