	14458.ERR2373139	14458.ERR2373140	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373068	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373076	14458.ERR2373077	14458.ERR2373098	14458.ERR2373078	14458.ERR2373080	14458.ERR2373083	14458.ERR2373081	14458.ERR2373085	14458.ERR2373055	14458.ERR2373103	14458.ERR2373106	14458.ERR2373107	14458.ERR2373138	14458.ERR2373144	14458.ERR2373146	14458.ERR2373050	14458.ERR2373053	14458.ERR2373052	14458.ERR2373125	14458.ERR2373089	14458.ERR2373090	14458.ERR2373092	14458.ERR2373093	14458.ERR2373095	14458.ERR2373096	14458.ERR2373097	14458.ERR2373133	14458.ERR2373109	14458.ERR2373112	14458.ERR2373110	14458.ERR2373111	14458.ERR2373134	14458.ERR2373118	14458.ERR2373121	14458.ERR2373122	14458.ERR2373119	14458.ERR2373123	14458.ERR2373124	14458.ERR2373117	14458.ERR2373127	14458.ERR2373136
G000005825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006605	0	0	0	0	7.0	7.0	0	3.0	2.0	0	0	0	2.0	1.0	2.0	4.0	0	6.0	0	0	0	1.0	12.0	0	0	1.0	6.0	0	1.0	0	0	42.0	23.0	0	16.0	0	0	1.0	2.0	4.0	0	0	0	0	2.0	2.0	1.0	2.0	0	0
G000006725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000006745	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000006785	2.0	7.0	37.0	41.0	28.0	13.0	109.0	54.0	17.0	7.0	46.0	35.0	13.0	19.0	9.0	260.0	18.0	63.0	1.0	23.0	45.0	61.0	41.0	29.0	16.0	28.0	40.0	17.0	32.0	12.0	19.0	205.0	114.0	6.0	19.0	11.0	2.0	8.0	129.0	68.0	33.0	20.0	31.0	178.0	21.0	22.0	14.0	31.0	77.0	77.0
G000006845	3.0	9.0	5.0	253.0	114.0	324.0	245.0	1370.0	172.0	17.0	6.0	97.0	891.0	224.0	40.0	2127.0	42.0	59.0	19.0	210.0	355.0	82.0	308.0	1.0	14.0	7.0	51.0	150.0	29.0	3.0	8.0	56.0	1034.0	3.0	1.0	35.0	9.0	6.0	163.0	54.0	0	0	216.0	13.0	716.0	212.0	2.0	27.0	170.0	41.0
G000006865	0	1.0	8.0	8.0	4.0	5.0	17.0	10.0	3.0	2.0	6.0	7.0	3.0	2.0	2.0	32.0	4.0	12.0	0	4.0	7.0	17.0	6.0	6.0	5.0	5.0	4.0	2.0	8.0	3.0	3.0	34.0	21.0	1.0	2.0	2.0	0	3.0	27.0	12.0	6.0	3.0	4.0	44.0	12.0	6.0	2.0	5.0	31.0	15.0
G000006925	2.0	0	0	1.0	1.0	1.0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	1.0	0	1.0	1.0	0	0	4.0	0	1.0	0	0	0	1.0	5.0	0	2.0	0	1.0	0	6.0	0	0	0	4.0	0	0	1.0	0	0	1.0	1.0
G000007145	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	2.0	1.0	0	2.0	0	0	1.0	0	0
G000007265	3.0	16.0	46.0	78.0	57.0	39.0	187.0	145.0	61.0	16.0	47.0	71.0	23.0	28.0	20.0	696.0	28.0	158.0	1.0	32.0	110.0	137.0	92.0	57.0	30.0	44.0	245.0	40.0	51.0	31.0	53.0	575.0	199.0	30.0	51.0	16.0	3.0	16.0	637.0	134.0	47.0	24.0	61.0	426.0	51.0	65.0	29.0	96.0	129.0	135.0
G000007325	25.0	91.0	645.0	74.0	511.0	368.0	407.0	1770.0	1017.0	55.0	946.0	338.0	367.0	479.0	139.0	609.0	158.0	4122.0	11.0	184.0	187.0	120.0	360.0	49.0	63.0	1284.0	1594.0	236.0	116.0	235.0	606.0	1030.0	5253.0	18.0	427.0	92.0	50.0	182.0	139.0	123.0	866.0	453.0	4.0	145.0	1531.0	1821.0	394.0	1745.0	130.0	104.0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	0	1.0	14.0	6.0	2.0	2.0	12.0	9.0	6.0	2.0	3.0	6.0	1.0	2.0	1.0	31.0	3.0	14.0	0	2.0	6.0	14.0	3.0	3.0	5.0	13.0	4.0	9.0	5.0	3.0	11.0	168.0	18.0	2.0	9.0	1.0	0	3.0	15.0	77.0	22.0	47.0	5.0	21.0	9.0	3.0	4.0	8.0	10.0	10.0
G000007485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0	0	0	0	40.0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0
G000007525	0	0	17.0	2.0	0	0	0	0	832.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	1.0	0	0	0	0	233.0	0	2.0	0	1.0	414.0	112.0	32.0	0	0	0
G000007565	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	2.0	1.0	0	6.0	0	1.0	0	1.0	0	1.0	0	0	0	1.0	0	0	2.0	1.0	0	2.0	0	0	1.0	0	0	2.0	0	0	0	1.0	0	1.0	1.0	0	2.0	2.0
G000007645	0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	3.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	21.0	2.0	0	1.0	0	0	0	0	0	0	1.0
G000007745	0	2.0	0	32.0	1.0	2.0	38.0	32.0	1.0	0	1.0	4.0	39.0	10.0	1.0	50.0	1.0	1.0	1.0	3.0	21.0	18.0	51.0	0	17.0	0	10.0	2.0	2.0	0	4.0	18.0	43.0	0	2.0	1.0	0	2.0	14.0	5.0	0	0	6.0	2.0	8.0	9.0	3.0	10.0	7.0	36.0
G000007785	0	0	1.0	1.0	0	1.0	1.0	9.0	1.0	0	1.0	3.0	1.0	1.0	0	13.0	1.0	3.0	0	0	6.0	7.0	1.0	1.0	1.0	0	2.0	1.0	1.0	0	1.0	20.0	7.0	0	3.0	0	0	0	1.0	3.0	2.0	1.0	2.0	15.0	2.0	2.0	1.0	2.0	1.0	1.0
G000007805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007825	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
G000007845	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007945	0	1.0	2.0	80.0	3.0	2.0	48.0	68.0	3.0	1.0	2.0	8.0	87.0	12.0	1.0	44.0	1.0	2.0	1.0	2.0	39.0	35.0	96.0	1.0	24.0	0	9.0	2.0	2.0	0	5.0	22.0	63.0	1.0	2.0	2.0	1.0	2.0	27.0	6.0	0	0	6.0	2.0	11.0	16.0	5.0	9.0	11.0	32.0
G000008165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008185	25.0	26.0	9.0	1.0	9.0	419.0	405.0	217.0	1228.0	86.0	603.0	91.0	1.0	344.0	50.0	110.0	61.0	2238.0	1.0	106.0	18.0	303.0	40.0	83.0	0	1465.0	162.0	124.0	66.0	856.0	209.0	613.0	932.0	1.0	527.0	225.0	44.0	1.0	57.0	1.0	6.0	1249.0	0	70.0	1049.0	6.0	243.0	3.0	256.0	12.0
G000008325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008345	17.0	58.0	22.0	7.0	58.0	32.0	65.0	22.0	247.0	8.0	10.0	35.0	14.0	5.0	57.0	20.0	7.0	45.0	11.0	12.0	13.0	12.0	310.0	7.0	37.0	26.0	88.0	11.0	14.0	11.0	64.0	51.0	8.0	10.0	102.0	10.0	4.0	9.0	4.0	14.0	9.0	23.0	4.0	22.0	89.0	43.0	46.0	28.0	24.0	16.0
G000008465	0	0	0	0	0	0	16.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	5.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000008505	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
G000008525	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	1.0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008605	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
G000008805	9.0	12.0	4.0	398.0	175.0	417.0	452.0	1936.0	228.0	24.0	6.0	164.0	1355.0	342.0	55.0	3785.0	56.0	101.0	30.0	271.0	469.0	106.0	449.0	2.0	22.0	12.0	71.0	244.0	54.0	7.0	21.0	81.0	1371.0	5.0	2.0	39.0	9.0	6.0	226.0	71.0	0	0	266.0	23.0	1030.0	287.0	4.0	26.0	245.0	77.0
G000008865	2.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	3.0	0	0	0	0	0	1.0	0	0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	0	1.0	0	0	0	0	1.0	1.0
G000009065	0	0	0	0	0	0	7.0	1.0	0	0	0	0	2.0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	2.0	1.0	0	0	0	1.0	0	2.0	0	0	0	0	0	1.0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0
G000009125	17.0	8.0	3.0	5.0	9.0	18.0	6.0	13.0	11.0	5.0	8.0	16.0	7.0	12.0	13.0	7.0	4.0	3.0	4.0	12.0	15.0	21.0	7.0	3.0	6.0	1.0	2.0	47.0	5.0	6.0	8.0	9.0	2.0	13.0	3.0	19.0	7.0	0	1.0	4.0	9.0	7.0	5.0	10.0	5.0	11.0	19.0	2.0	16.0	27.0
G000009145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009205	3.0	6.0	2.0	5.0	32.0	4.0	35.0	20.0	27.0	1.0	9.0	4.0	1.0	21.0	3.0	42.0	1.0	40.0	0	24.0	4.0	6.0	16.0	5.0	2.0	14.0	56.0	1.0	4.0	15.0	48.0	88.0	52.0	0	39.0	0	0	4.0	3.0	8.0	3.0	12.0	1.0	24.0	90.0	31.0	7.0	5.0	2.0	1.0
G000009305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009345	0	0	0	1.0	0	0	2.0	2.0	0	0	0	0	0	2.0	0	6.0	0	0	0	0	1.0	0	0	0	0	5.0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0
G000009365	0	0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
