gotu	covered_length	total_length	coverage_ratio	strain
G000299455	3534961	5437407	0.6501188893897404	Escherichia coli O104:H4 str. 2011C-3493
G000008865	3399043	5594477	0.6075711813633339	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G000026325	3369706	5358200	0.6288876861632637	Escherichia coli UMN026
G000026345	3283710	5132068	0.639841483004512	Escherichia coli IAI39
G000006925	3219502	4828820	0.6667264466267121	Shigella flexneri 2a str. 301
G000183345	3113497	4894879	0.6360723114912544	Escherichia coli O83:H1 str. NRG 857C
G000012005	2971445	4560911	0.651502517808394	Shigella dysenteriae Sd197
G001411495	2462603	8605945	0.28615137558978126	Burkholderia cepacia ATCC 25416 UCB 717
G000191065	2090337	3057407	0.6836960208438065	Prevotella multiformis DSM 16608
G000193395	1804999	2937589	0.6144491281796058	Prevotella denticola F0289
G000007525	1496735	2260266	0.6621941842243346	Bifidobacterium longum NCC2705
G000008345	1445332	2560265	0.5645243754064521	Propionibacterium acnes KPA171202
G000144735	1436174	2503840	0.573588567959614	Propionibacterium acnes HL063PA2
G000145515	1435557	2505472	0.5729686861397773	Propionibacterium acnes HL030PA2
G000145555	1434820	2476421	0.5793925992389823	Propionibacterium acnes HL037PA1
G000613505	1417165	3077999	0.4604176284657662	Prevotella oris DSM 18711 = JCM 12252
G001042595	1249788	2635669	0.4741824561430134	Bifidobacterium dentium JCM 1195 = DSM 20436 JCM 1195
G000186165	1063450	2169437	0.49019630438680634	Neisseria mucosa C102
G000220235	1024049	2669193	0.38365490992970536	Prevotella nigrescens ATCC 33563
G001553215	891989	2355383	0.3787023172027649	Porphyromonas somerae KA00683
G000208405	880766	2568361	0.3429292066029659	Selenomonas sputigena ATCC 35185 ASM20840v1
G001283625	753551	951382	0.7920593410428198	Escherichia coli 401686
G000959245	741383	7189071	0.1031263983900006	Burkholderia ubonensis MSMB22
G000144405	681581	3168282	0.21512636817051006	Prevotella melaninogenica ATCC 25845
G000185845	525428	3274581	0.16045655917505172	Prevotella salivae DSM 15606
G001063255	517298	2578695	0.2006045693655124	Morococcus cerebrosus 379_NMEN
G001055885	489595	1997176	0.24514364282366702	Haemophilus parainfluenzae 209_HPAR
G000469545	478319	2313357	0.20676402301936103	Mitsuokella sp. oral taxon 131 str. W9106
G000261285	453815	2101432	0.21595512012760823	Haemophilus parainfluenzae HK2019
G001679325	449297	2129377	0.21099927349642641	Haemophilus parainfluenzae CCUG 62654
G000173895	447463	1872773	0.2389307193130187	Neisseria cinerea ATCC 14685
G000259485	446503	2107814	0.21183225844405626	Haemophilus parainfluenzae HK262
G000242235	437171	2313632	0.18895442317533645	Stomatobaculum longum ACC2
G000011025	402605	2264603	0.17778171273287194	Rothia mucilaginosa DY-18
G000286635	388872	2042594	0.19038144633735338	Veillonella sp. ACP1 VspACP1v1.0
G000426585	373052	3128717	0.11923481733886446	Prevotella baroniae DSM 16972 = JCM 13447 DSM 16972
G000238795	354854	2143543	0.16554554772169255	Haemophilus sputorum CCUG 13788
G000261025	327946	2699437	0.12148681373190039	Prevotella intermedia 17
G001025175	321191	2269415	0.1415303062683555	Bifidobacterium breve DSM 20213 = JCM 1192 ASM102517v1
G000785515	314700	2188923	0.14376933313780338	Streptococcus salivarius NCTC 8618
G001683355	313003	3303745	0.09474187626466328	Prevotella scopos JCM 17725 W2052
G000519165	304387	2573247	0.11828907213337857	Prevotella intermedia ATCC 25611 = DSM 20706 ATCC 25611 ASM51916v1
G000027165	304332	2146611	0.14177324163530328	Streptococcus mitis B6
G000439065	302338	2564533	0.1178920294650137	Prevotella intermedia ATCC 25611 = DSM 20706
G000818035	299556	2256647	0.13274384518269805	Neisseria elongata subsp. glycolytica ATCC 29315 ASM81803v1
G000008805	294674	2272360	0.12967751588656726	Neisseria meningitidis MC58
G000613785	292896	2827758	0.10357887768330953	Prevotella oulorum JCM 14966
G000184945	282583	3284105	0.08604566540960171	Prevotella buccae ATCC 33574
G000196295	273252	2220606	0.12305289637153101	Neisseria lactamica 020-06
G000412995	264651	2693493	0.09825568508995568	Treponema vincentii F0403
G000464455	248969	2804628	0.08877077459114008	Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536 VPI DR56BR1116
G000468115	248629	2826695	0.08795749099213039	Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536
G000006845	242148	2153922	0.11242189828601036	Neisseria gonorrhoeae FA 1090
G000287635	234515	3164912	0.07409842674930614	Prevotella sp. MSX73 PspMSX73v1.0
G000011545	225253	7247547	0.031079895032070853	Burkholderia pseudomallei K96243 ASM1154v1
G000174015	221779	1626291	0.13637104306670825	Atopobium rimae ATCC 49626
G001438885	221708	1629936	0.1360225186755799	Atopobium rimae DSM 7090
G001813205	221582	1592142	0.13917225976074998	Atopobium sp. HMSC064B08 ASM181320v1
G001941805	218487	3378307	0.06467351842209722	Acinetobacter junii 65
G000160055	218236	1895960	0.11510580391991392	Dialister invisus DSM 15470
G000220255	217975	3127600	0.06969401457986955	Prevotella pallens ATCC 700821
G000011705	209218	5835527	0.03585246028336429	Burkholderia mallei ATCC 23344
G000413035	208883	2727508	0.07658382670188318	Treponema medium ATCC 700293
G000164675	207649	2153652	0.09641715560359798	Streptococcus parasanguinis ATCC 15912
G001262015	205836	3261806	0.06310491795036247	Prevotella fusca JCM 17724 W1435
G000379965	205209	2650108	0.07743420268155109	Prevotella nanceiensis DSM 19126 = JCM 15639 DSM 19126
G000159995	204086	2585719	0.0789281433906778	Alloprevotella tannerae ATCC 51259
G000968335	203341	1969659	0.1032366516234536	Haemophilus influenzae 2019 ASM96833v1
G000221145	203340	2430672	0.08365587788068485	[Propionibacterium] namnetense SK182B-JCVI
G000379145	200232	9484767	0.021110903409646227	Bradyrhizobium elkanii USDA 76
G000433275	197892	1773580	0.11157771287452498	Dialister invisus CAG:218 MGS218
G000154225	195847	2393958	0.08180887049814575	Actinomyces odontolyticus ATCC 17982
G000027305	194555	1830138	0.10630619111782827	Haemophilus influenzae Rd KW20
G000648515	193918	5371331	0.03610241111560617	Citrobacter freundii CFNIH1
G001558935	192832	5083867	0.03793018188713434	Citrobacter amalonaticus FDAARGOS_165
G000253395	188538	1929905	0.09769289161901752	Streptococcus thermophilus JIM 8232
G000162875	186489	2096289	0.08896149338187626	Slackia exigua ATCC 700122
G000025565	186352	5598796	0.03328429898142386	Enterobacter cloacae subsp. cloacae ATCC 13047
G001444445	185940	2861432	0.06498144984748895	Prevotella enoeca F0113
G001276545	182757	1863535	0.0980700657621134	Haemophilus influenzae C10
G000613925	182243	2949807	0.061781330100579464	Prevotella histicola JCM 15637 = DNF00424 JCM 15637
G000023205	181672	2501097	0.07263692691646906	Micrococcus luteus NCTC 2665 NCTC 2665 (Fleming 2665)
G000382385	180371	3314235	0.05442311725028551	Prevotella maculosa DSM 19339 = JCM 15638 DSM 19339
G001514435	179397	1787436	0.10036555154981773	Streptococcus thermophilus S9
G001007605	177108	1917994	0.09234022629893524	Haemophilus influenzae 2019 2019
G000195995	175148	5133713	0.034117216914930776	Salmonella enterica subsp. enterica serovar Typhi str. CT18
G000022305	173346	3796573	0.045658545219596725	Acidovorax ebreus TPSY
G000213295	172821	2536778	0.0681261821097471	Capnocytophaga sp. oral taxon 329 str. F0087
G001022195	167072	7227285	0.023116841248131213	Klebsiella oxytoca CAV1374
G000234115	163928	2593873	0.06319815966317549	Alloprevotella rava F0323
G000204235	155936	2623290	0.05944291328827541	Propionibacterium humerusii P08
G000614025	150240	3002170	0.05004380165013973	Prevotella aurantiaca JCM 15754
