gotu	covered_length	total_length	coverage_ratio	strain
G000308295	2922115	5334146	0.5478130894804905	Afipia birgiae 34632
G001761345	2088117	4196755	0.4975551348601479	Sphingomonas melonis TY ASM176134v1
G000008345	1724973	2560265	0.673747834696799	Propionibacterium acnes KPA171202
G000144735	1665481	2503840	0.6651706978081666	Propionibacterium acnes HL063PA2
G000145515	1663940	2505472	0.6641223689588229	Propionibacterium acnes HL030PA2
G000145555	1661572	2476421	0.6709569980225495	Propionibacterium acnes HL037PA1
G000011025	1445542	2264603	0.6383202707052847	Rothia mucilaginosa DY-18
G000186165	1110317	2169437	0.5117996051510139	Neisseria mucosa C102
G001553215	1044695	2355383	0.4435350853767731	Porphyromonas somerae KA00683
G001063255	884966	2578695	0.3431836646055466	Morococcus cerebrosus 379_NMEN
G000299455	792284	5437407	0.14570989444049343	Escherichia coli O104:H4 str. 2011C-3493
G000008865	744770	5594477	0.13312593831380484	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G001411495	736352	8605945	0.08556317754761389	Burkholderia cepacia ATCC 25416 UCB 717
G000026325	719867	5358200	0.13434866186405883	Escherichia coli UMN026
G000006925	690486	4828820	0.1429926980090374	Shigella flexneri 2a str. 301
G000026345	686436	5132068	0.13375426825989056	Escherichia coli IAI39
G000183345	657684	4894879	0.13436164612036375	Escherichia coli O83:H1 str. NRG 857C
G000012005	635898	4560911	0.13942346167245973	Shigella dysenteriae Sd197
G000144405	557800	3168282	0.1760575605328061	Prevotella melaninogenica ATCC 25845
G000154225	516915	2393958	0.21592484078668048	Actinomyces odontolyticus ATCC 17982
G000007525	479497	2260266	0.21214184525184204	Bifidobacterium longum NCC2705
G000160695	442495	2166063	0.20428537858778809	Selenomonas flueggei ATCC 43531
G000164695	436982	2506025	0.17437256212527807	Rothia dentocariosa ATCC 17931
G000165735	432708	1765528	0.24508702212595893	Megasphaera micronuciformis F0359
G000613925	417099	2949807	0.14139874235839836	Prevotella histicola JCM 15637 = DNF00424 JCM 15637
G000173895	401577	1872773	0.21442908457138157	Neisseria cinerea ATCC 14685
G000242235	367084	2313632	0.15866136014716256	Stomatobaculum longum ACC2
G000208405	364693	2568361	0.14199444704229663	Selenomonas sputigena ATCC 35185 ASM20840v1
G001457475	356199	6813182	0.052280857901638327	Achromobacter xylosoxidans NCTC10807
G000185845	350298	3274581	0.10697490762940358	Prevotella salivae DSM 15606
G000818035	348481	2256647	0.154424240920268	Neisseria elongata subsp. glycolytica ATCC 29315 ASM81803v1
G000239695	286981	2205725	0.13010733432318172	Actinomyces graevenitzii C83
G000008805	278943	2272360	0.12275475716875847	Neisseria meningitidis MC58
G000196295	265712	2220606	0.1196574268465455	Neisseria lactamica 020-06
G000613785	265398	2827758	0.09385456605551111	Prevotella oulorum JCM 14966
G000240185	253923	5682322	0.04468648555995243	Klebsiella pneumoniae subsp. pneumoniae HS11286
G000027165	248245	2146611	0.11564507961619501	Streptococcus mitis B6
G000286635	238932	2042594	0.11697478794121592	Veillonella sp. ACP1 VspACP1v1.0
G000011365	232519	9105828	0.025535184719061244	Bradyrhizobium diazoefficiens USDA 110
G000006845	225448	2153922	0.10466859988430408	Neisseria gonorrhoeae FA 1090
G001708485	219911	6253326	0.035167045505064026	Pseudomonas fluorescens L228
G000159995	219309	2585719	0.08481548072315669	Alloprevotella tannerae ATCC 51259
G001297025	217433	2043356	0.10640974945139271	Lactobacillus fermentum HFB3
G000220255	216298	3127600	0.06915782069318327	Prevotella pallens ATCC 700821
G001941785	212461	2272328	0.09349926595104228	Lactobacillus fermentum SNUV175
G000472265	209963	1815647	0.11564087071991416	Lactobacillus fermentum Lf1
G000473125	209784	9826880	0.02134797616333974	Bradyrhizobium genosp. SA-4 str. CB756
G000397165	207625	2064620	0.10056329978397961	Lactobacillus fermentum F-6
G000010145	207230	2098685	0.09874278417199342	Lactobacillus fermentum IFO 3956
G001742205	203236	1949874	0.10423032462610404	Lactobacillus fermentum NCC2970
G001297905	202263	2011828	0.10053692462775148	Lactobacillus fermentum UCO-979C
G000966835	202045	2199799	0.09184702784208922	Lactobacillus fermentum LfQi6
