gotu	covered_length	total_length	coverage_ratio	strain
G000020205	5074695	5325729	0.9528639177847765	Ralstonia pickettii 12J
G000238215	3248240	3405521	0.9538158772181995	Tannerella forsythia 92A2
G001683355	3242690	3303745	0.9815194574641808	Prevotella scopos JCM 17725 W2052
G000144405	3149797	3168282	0.99416560773315	Prevotella melaninogenica ATCC 25845
G000185845	3098233	3274581	0.9461463924697542	Prevotella salivae DSM 15606
G000220255	3037904	3127600	0.9713211408108454	Prevotella pallens ATCC 700821
G000613505	3011927	3077999	0.9785341060864542	Prevotella oris DSM 18711 = JCM 12252
G000614025	2969658	3002170	0.9891705000049964	Prevotella aurantiaca JCM 15754
G000613925	2945491	2949807	0.9985368534280379	Prevotella histicola JCM 15637 = DNF00424 JCM 15637
G000193395	2894391	2937589	0.9852947434103273	Prevotella denticola F0289
G001262015	2824351	3261806	0.8658856473990176	Prevotella fusca JCM 17724 W1435
G000191065	2737555	3057407	0.8953845529888562	Prevotella multiformis DSM 16608
G000378085	2665787	3508589	0.7597889065946453	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930 DSM 19665
G000379965	2609176	2650108	0.9845545917373933	Prevotella nanceiensis DSM 19126 = JCM 15639 DSM 19126
G000613785	2605004	2827758	0.921225932346403	Prevotella oulorum JCM 14966
G000261025	2592196	2699437	0.9602728272599064	Prevotella intermedia 17
G000184945	2584686	3284105	0.787029038352915	Prevotella buccae ATCC 33574
G000220235	2574511	2669193	0.9645278554229687	Prevotella nigrescens ATCC 33563
G000159995	2531784	2585719	0.979141198250854	Alloprevotella tannerae ATCC 51259
G000186425	2498404	3151925	0.7926597238195706	Lautropia mirabilis ATCC 51599
G000318095	2498201	2553017	0.9785289326314709	Prevotella sp. oral taxon 473 str. F0040
G000160635	2480609	2706954	0.9163838764899588	Oribacterium sinus F0268
G000287635	2459899	3164912	0.7772408837907657	Prevotella sp. MSX73 PspMSX73v1.0
G000519165	2449851	2573247	0.9520465777284497	Prevotella intermedia ATCC 25611 = DSM 20706 ATCC 25611 ASM51916v1
G000439065	2444846	2564533	0.9533299045089301	Prevotella intermedia ATCC 25611 = DSM 20706
G000173675	2437823	2997845	0.8131918094497881	Capnocytophaga sputigena ATCC 33612 Capno
G001063255	2424699	2578695	0.9402814214166468	Morococcus cerebrosus 379_NMEN
