gotu	covered_length	total_length	coverage_ratio	strain
G000008345	2413693	2560265	0.9427512386413125	Propionibacterium acnes KPA171202
G000144735	2386914	2503840	0.9533013291584127	Propionibacterium acnes HL063PA2
G000145515	2385108	2505472	0.9519595509349137	Propionibacterium acnes HL030PA2
G000145555	2372484	2476421	0.9580293496138177	Propionibacterium acnes HL037PA1
G000144405	1906634	3168282	0.6017879721565189	Prevotella melaninogenica ATCC 25845
G000379145	1649710	9484767	0.17393258052622695	Bradyrhizobium elkanii USDA 76
G000968335	1487633	1969659	0.7552743901355514	Haemophilus influenzae 2019 ASM96833v1
G001007605	1446529	1917994	0.7541884906834954	Haemophilus influenzae 2019 2019
G000027305	1442545	1830138	0.7882165170058214	Haemophilus influenzae Rd KW20
G001276545	1408104	1863535	0.7556090977631222	Haemophilus influenzae C10
G000220255	1057266	3127600	0.33804386750223814	Prevotella pallens ATCC 700821
G000286635	887347	2042594	0.4344216227013298	Veillonella sp. ACP1 VspACP1v1.0
G001683355	669327	3303745	0.20259644736503574	Prevotella scopos JCM 17725 W2052
G000317855	649400	2179445	0.29796576651395196	Streptococcus dysgalactiae subsp. equisimilis AC-2713
G000463665	563044	2128234	0.2645592542925261	Cutibacterium granulosum DSM 20700 PG_DSM_assembly2012
G000185845	453378	3274581	0.13845374415841294	Prevotella salivae DSM 15606
G000221145	452370	2430672	0.1861090266395466	[Propionibacterium] namnetense SK182B-JCVI
G000024945	449643	2132142	0.21088792397504483	Veillonella parvula DSM 2008
G001553335	439081	2050442	0.21413968305370257	Veillonella parvula DNF00876
G000938305	427282	7851216	0.05442239775341807	Bradyrhizobium sp. LTSP885 ASM93830v1
G000158275	394116	2514029	0.15676668805332	Fusobacterium nucleatum subsp. animalis 7_1 ASM15827v2
G001854465	374561	2143397	0.17475110770426572	Fusobacterium nucleatum AB1
G001054195	355186	2355597	0.15078385649158155	Corynebacterium aurimucosum 1237_CAUR
G000007325	335308	2174500	0.15420004598758336	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
G000014425	279095	1894360	0.14732944107772547	Lactobacillus gasseri ATCC 33323 = JCM 1131 ATCC 33323
G001189495	278395	1739380	0.16005415722843772	Eubacterium sulci ATCC 35585 ASM118949v1
G000344805	275524	8264165	0.03333960539268033	Bradyrhizobium oligotrophicum S58
G001620305	250863	5502110	0.045593963043268855	Rhodococcus fascians D188 ASM162030v1
G000613925	240858	2949807	0.08165212164728065	Prevotella histicola JCM 15637 = DNF00424 JCM 15637
G000296405	233297	2118285	0.11013484965431941	Turicella otitidis ATCC 51513 Turi_otit_ATCC_51513_V1
G000204235	233250	2623290	0.08891506467069978	Propionibacterium humerusii P08
G001262015	217912	3261806	0.06680716143142787	Prevotella fusca JCM 17724 W1435
G000379965	195396	2650108	0.07373133472296223	Prevotella nanceiensis DSM 19126 = JCM 15639 DSM 19126
G000463505	190480	2233640	0.08527784244551495	Streptococcus anginosus C238
G000614025	167685	3002170	0.055854598507079876	Prevotella aurantiaca JCM 15754
